time,a_y,a_x,a_z,v_y,v_x,v_z,y,x,z
7.928287,-0.15786212066250688,0.48055811865372977,0.7348897767733877,0.7803812798166735,0.5939918332424,0.1729084490554353,1.8628109849026029,1.000338650906516,0.024824302200051378
7.928402,-0.14777129664760943,0.7114489426686286,0.4080806007882813,0.7739328465598326,0.5939830659011951,0.17546509366265872,1.869825802043682,1.0055058588319954,0.025757032656986176
7.938548,-0.13938094999590445,0.886639289320336,0.12327094743999273,0.766714789464265,0.5954318569855589,0.17385384584038918,1.8766237808978525,1.0105324172392913,0.026546618975291925
7.949836,-0.08788775157701521,0.9034324877392237,-0.04203585414111691,0.7598194836415785,0.5988858902924616,0.1696078771900431,1.8833909979800407,1.01562412083817,0.02734708288514596
7.961492,-0.02477918049727429,0.8117410588189662,-0.09822728306137721,0.7541364652756433,0.6032021964520803,0.16438736123694092,1.8902123862633269,1.020872622863678,0.028217412366418122
7.9758,0.6895533241064489,0.5712735634226835,-0.6735947784576468,0.7481435383959671,0.6056471456626639,0.157653572439797,1.8968142334498648,1.0259945706724534,0.028866796862011344
7.988977,0.8914281464906507,0.6490483858068924,-1.070519956073452,0.7484635604737747,0.6047740944378444,0.14422368836887794,1.9032359885934496,1.030972965152671,0.029263006022909828
8.000674,0.8189952807498803,0.8490155200661211,-1.3367528218142224,0.7496077578860414,0.6034734372114378,0.12557795816566025,1.9094593857295799,1.0357346539610552,0.029291701100930385
8.009869,0.5712204213153806,0.962940660631621,-1.3437276812487207,0.7499010465324714,0.6040695362952547,0.10412648258962919,1.9156696152522503,1.0404723718886464,0.0290977509182662
8.017904,0.27053331421018867,0.9159535535264222,-1.10951478835392,0.7492432662942632,0.607362989614885,0.08415285791719532,1.9221407975811,1.0454924976299749,0.028957666903734875
8.025961,0.052591919716593466,0.8250121590328308,-0.8693561828475124,0.7480837072116108,0.6127137045812474,0.0690729244780871,1.9290324605498608,1.0509858659772464,0.02907043871701554
8.033995,-0.09055186273622229,0.7056683765800141,-0.6491999653003291,0.7462190995698377,0.6186404042655069,0.05790874046569968,1.9361623426953358,1.0567895826416078,0.029304321322868556
8.042054,0.017234553050367307,0.506054792366607,-0.5817135495137371,0.7439285211466493,0.6243812008218396,0.04998314779426354,1.9434440463917095,1.062824921575628,0.029614703796307575
8.051132,0.39568803071084196,0.17330827002708488,-0.6344600718532533,0.7437040672114048,0.6290874161231612,0.04371717850003265,1.950879222709383,1.069079106398582,0.030019669036767033
8.059849,0.8995659661516127,-0.13521379453214655,-0.833482136412488,0.7474878911742424,0.6306281229712651,0.03711002608774147,1.9583647476737973,1.0753971943710396,0.03039210666910243
8.068457,1.392656332003401,-0.2375234286803548,-1.2429917705606952,0.7555020256300806,0.628204562089935,0.027643118889586586,1.9657651157515754,1.0815661705642214,0.030538816617191367
8.079356,1.7387587828950553,-0.18242097778870384,-1.689489319669047,0.7669869322850027,0.6232460473200004,0.012542569435111731,1.9730087132891958,1.0874428029688379,0.03030650937143567
8.093903,1.8806947003059544,-0.1314850603778016,-1.9577534022581458,0.7802599045170145,0.6171403171538317,-0.008764772516007786,1.9800881052792558,1.0929745631618355,0.029601510801902247
8.102937,1.8109434723390883,-0.1667362883446729,-1.9438046302250147,0.7940784470883006,0.6106622515930108,-0.033664180743858504,1.9871537224330227,1.098292448545842,0.028513062133910715
8.111168,1.5876387439564608,-0.23834101672730196,-1.730909358607645,0.8077048699762944,0.604340063577694,-0.057911437117313454,1.994444570059602,1.1036325901316957,0.027263558793658292
8.119126,1.2549397046386392,-0.2593400560451227,-1.437208397925468,0.8203245652349361,0.5985413270521084,-0.07876552572299343,2.002079235747206,1.1091230479737566,0.025998037000670708
8.135602,0.35550621437603314,-0.18217354630773455,-0.5870418881880708,0.8345615342503703,0.5975039435939173,-0.09168392132208568,2.0106934926952182,1.115423169604456,0.025406327110774226
8.144418,-0.19358874336586773,0.12603149595036908,-0.28063684592997595,0.8418543090190304,0.5993732091829328,-0.09389851257369804,2.0197775860422604,1.1220887392501655,0.025099547407428955
